Age,Attrition,BusinessTravel,DailyRate,i,Education,EducationField,Gender,HourlyRate,JobLevel,]=,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,1102,Sales,2,Life Sciences,Female,94,2,Sales Executive,4,Single,5993,19479,Yes,11,3,80,8,0,1,6,4,0
49,No,Travel_Frequently,279,Research & Development,1,Life Sciences,Male,61,2,Research Scientist,2,Married,5130,24907,No,23,4,80,10,3,3,10,7,1
37,Yes,Travel_Rarely,1373,Research & Development,2,Other,Male,92,1,Laboratory Technician,3,Single,2090,2396,Yes,15,3,80,7,3,3,0,0,0
33,No,Travel_Frequently,1392,Research & Development,4,Life Sciences,Female,56,1,Research Scientist,3,Married,2909,23159,Yes,11,3,80,8,3,3,8,7,3
27,No,Travel_Rarely,591,Research & Development,1,Medical,Male,40,1,Laboratory Technician,2,Married,3468,16632,No,12,3,80,6,3,3,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,Male,79,1,Laboratory Technician,4,Single,3068,11864,No,13,3,80,8,2,2,7,7,3
59,No,Travel_Rarely,1324,Research & Development,3,Medical,Female,81,1,Laboratory Technician,1,Married,2670,9964,Yes,20,4,80,12,3,2,1,0,0
30,No,Travel_Rarely,1358,Research & Development,1,Life Sciences,Male,67,1,Laboratory Technician,3,Divorced,2693,13335,No,22,4,80,1,2,3,1,0,0
38,No,Travel_Frequently,216,Research & Development,3,Life Sciences,Male,44,3,Manufacturing Director,3,Single,9526,8787,No,21,4,80,10,2,3,9,7,1
36,No,Travel_Rarely,1299,Research & Development,3,Medical,Male,94,2,Healthcare Representative,3,Married,5237,16577,No,13,3,80,17,3,2,7,7,7
35,No,Travel_Rarely,809,Research & Development,3,Medical,Male,84,1,Laboratory Technician,2,Married,2426,16479,No,13,3,80,6,5,3,5,4,0
29,No,Travel_Rarely,153,Research & Development,2,Life Sciences,Female,49,2,Laboratory Technician,3,Single,4193,12682,Yes,12,3,80,10,3,3,9,5,0
